Day 1
name, sellIn, price
Medium Coverage, sellin: 9, price: 19
Full Coverage, sellin: 1, price: 1
Low Coverage, sellin: 4, price: 6
Mega Coverage, sellin: 0, price: 80
Mega Coverage, sellin: -1, price: 80
Special Full Coverage, sellin: 14, price: 21
Special Full Coverage, sellin: 9, price: 51
Special Full Coverage, sellin: 4, price: 52
Super Sale, sellin: 2, price: 4

Day 2
name, sellIn, price
Medium Coverage, sellin: 8, price: 18
Full Coverage, sellin: 0, price: 2
Low Coverage, sellin: 3, price: 5
Mega Coverage, sellin: 0, price: 80
Mega Coverage, sellin: -1, price: 80
Special Full Coverage, sellin: 13, price: 22
Special Full Coverage, sellin: 8, price: 51
Special Full Coverage, sellin: 3, price: 52
Super Sale, sellin: 1, price: 2

Day 3
name, sellIn, price
Medium Coverage, sellin: 7, price: 17
Full Coverage, sellin: -1, price: 4
Low Coverage, sellin: 2, price: 4
Mega Coverage, sellin: 0, price: 80
Mega Coverage, sellin: -1, price: 80
Special Full Coverage, sellin: 12, price: 23
Special Full Coverage, sellin: 7, price: 51
Special Full Coverage, sellin: 2, price: 52
Super Sale, sellin: 0, price: 0

Day 4
name, sellIn, price
Medium Coverage, sellin: 6, price: 16
Full Coverage, sellin: -2, price: 6
Low Coverage, sellin: 1, price: 3
Mega Coverage, sellin: 0, price: 80
Mega Coverage, sellin: -1, price: 80
Special Full Coverage, sellin: 11, price: 24
Special Full Coverage, sellin: 6, price: 51
Special Full Coverage, sellin: 1, price: 52
Super Sale, sellin: -1, price: 0

Day 5
name, sellIn, price
Medium Coverage, sellin: 5, price: 15
Full Coverage, sellin: -3, price: 8
Low Coverage, sellin: 0, price: 2
Mega Coverage, sellin: 0, price: 80
Mega Coverage, sellin: -1, price: 80
Special Full Coverage, sellin: 10, price: 25
Special Full Coverage, sellin: 5, price: 51
Special Full Coverage, sellin: 0, price: 52
Super Sale, sellin: -2, price: 0

Day 6
name, sellIn, price
Medium Coverage, sellin: 4, price: 14
Full Coverage, sellin: -4, price: 10
Low Coverage, sellin: -1, price: 0
Mega Coverage, sellin: 0, price: 80
Mega Coverage, sellin: -1, price: 80
Special Full Coverage, sellin: 9, price: 27
Special Full Coverage, sellin: 4, price: 51
Special Full Coverage, sellin: -1, price: 0
Super Sale, sellin: -3, price: 0

Day 7
name, sellIn, price
Medium Coverage, sellin: 3, price: 13
Full Coverage, sellin: -5, price: 12
Low Coverage, sellin: -2, price: 0
Mega Coverage, sellin: 0, price: 80
Mega Coverage, sellin: -1, price: 80
Special Full Coverage, sellin: 8, price: 29
Special Full Coverage, sellin: 3, price: 51
Special Full Coverage, sellin: -2, price: 0
